"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"UTEP",198,341,139,212,0.268861555377589,0.731138444622411,0.216129068773198,0.783870931226802,0.982247931351517,0.470277619699265,0.479952463244219,0.437371940490031,89,0.298672325194502,125
"UTSA",316,303,248,235,0.531858894396238,0.468141105603762,0.524870033682188,0.475129966317812,0.982247931351517,0.429981139937513,0.435350819543485,0.271652382918066,119,0.486242483844745,79
"Vanderbilt",199,220,79,111,0.308744557329994,0.691255442670006,0.440837241547829,0.559162758452171,1.025,0.528513636168511,0.55587239235178,0.676867969450788,40,0.491161849111208,77
"Virginia",243,322,138,193,0.31109940094493,0.68890059905507,0.339139433731547,0.660860566268453,1.00947282299374,0.542246416382766,0.563367420188887,0.733344125055317,28,0.41780272771858,99
"Virginia Tech",334,212,220,137,0.754460017753346,0.245539982246654,0.745981685783797,0.254018314216204,1.00947282299374,0.493773470825895,0.475116358051688,0.533998794163182,61,0.661904509237512,23
"Wake Forest",204,210,113,137,0.387829349136261,0.612170650863738,0.482831636408545,0.517168363591455,1.00947282299374,0.503540578432668,0.501295101000454,0.574166093166021,58,0.493618203610634,74
"Washington",448,179,300,149,0.840051554926191,0.15994844507381,0.897913715925803,0.102086284074197,1.02160816194681,0.455544505639559,0.396236123367264,0.376781904882273,102,0.746476673172578,9
"Washington State",443,243,317,161,0.83280919581999,0.16719080418001,0.805840326077926,0.194159673922074,1.02160816194681,0.477161757945859,0.451820542906251,0.465683007641178,83,0.702696554354145,14
"West Virginia",290,185,191,121,0.746846647495822,0.253153352504178,0.74371627543518,0.25628372456482,1.0199203187251,0.505619140274976,0.52075302463336,0.582714193420184,56,0.682729757408968,17
"Western Kentucky",418,260,347,167,0.849828219611823,0.150171780388177,0.754965961314576,0.245034038685424,0.982247931351517,0.483745781677099,0.488391674229032,0.492759851728685,76,0.654283073061625,25
"Western Michigan",444,195,269,112,0.88861027293818,0.11138972706182,0.875457028483582,0.124542971516418,0.984925005858917,0.43897788647296,0.406770695952539,0.308651566575208,112,0.708385889303712,13
"Wisconsin",262,127,169,86,0.832166044382064,0.167833955617936,0.847645579463653,0.152354420536347,1.02003770631759,0.597674058020418,0.620337866739606,0.961290692689931,3,0.787342973341235,4
"Wyoming",389,337,263,202,0.651448105771686,0.348551894228314,0.58421153453068,0.41578846546932,0.982557525002033,0.480578096522736,0.486027361130734,0.479732724162906,80,0.54186423997603,62
